sentence,score,label
Shell and BG Shareholders to Vote on Deal at End of January,0.0,2
AstraZeneca chases Acerta to secure next cancer drug winner,0.519,3
CompaniesTesco off to a bad start over Xmas â€“ Kantar,-0.604,1
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",0.31,3
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,0.766,3
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,0.818,3
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.611,3
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.623,3
Glencore Studies Possible IPO for Agricultural Trading Business,0.408,3
Can Christmas Save Sainsbury's plc And Tesco plc?,-0.175,1
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,0.47,3
Bilfinger Industrial Services win Â£100m BP contract extension,0.113,3
"Standard Chartered, RBS Escape Capital Raising in Stress Test",0.335,3
"Standard Chartered, RBS Escape Capital Raising in Stress Test",0.321,3
AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.284,3
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,0.189,3
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,0.492,3
L&G completes UK's largest medically underwritten bulk pension risk deal,0.25,3
Meggitt share price tumbles as profit falls in 'challenging year',-0.854,1
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.437,3
Kingfisher share price slides on cost to implement new strategy,-0.786,1
Shire says internal synergy goals from Baxalta deal higher,0.287,3
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",-0.736,1
Morrisons and Debenhams surprise City with Christmas bounce back,0.619,3
Morrisons and Debenhams surprise City with Christmas bounce back,0.573,3
"Britain's FTSE falls back with Ashtead, commodities under pressure",-0.59,1
Tesco shares jump 6% after Christmas sales beat expectations,0.814,3
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",0.133,3
CompaniesHome Retail trims gains but is considered 'in play',0.135,3
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.19,3
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.577,3
Investors Remain Skeptical About Shell-BG Deal,-0.266,1
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,0.487,3
Shire share price under pressure after $32bn Baxalta deal,-0.198,1
Shire share price under pressure after $32bn Baxalta deal,-0.186,1
Valeant Names Interim Leader as CEO Remains Hospitalized,0.0,2
Valeant Said to Name New CEO With Pearson Still Hospitalized,0.015,3
Shares in BAE Systems hit 10-month high on rating upgrade,0.905,3
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0.236,3
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,-0.12,1
CompaniesDixons Carphone to close 134 UK stores as sales jump,0.144,3
"Broker tips: RBS, Croda, Sage",0.393,3
"Broker tips: RBS, Croda, Sage",0.381,3
Shell share price: Standard Life announce position against BG acquisition,-0.134,1
Shell share price: Standard Life announce position against BG acquisition,-0.099,1
Tesco share price down as grocer faces SFO investigation outcome,-0.542,1
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",0.439,3
Greene King's third quarter sales boosted by festive season,0.363,3
ARM Royalties Accelerate as Smartphone Market Regains Strength,0.571,3
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,0.101,3
InterContinental Hotels Group share price climbs on $1.5bn special dividend,0.631,3
Amazon to attack UK grocery market with Morrisons deal,0.333,3
AstraZeneca share price: Acerta deal pays off with orphan drug status,0.495,3
"BHP Billiton posts big loss, slashes dividend",-0.938,1
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,0.136,3
BG Group appoints new CEO one month early,0.069,3
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",0.1,3
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",0.103,3
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,-0.271,1
BHP Billiton drags FTSE lower after slashing dividend,-0.604,1
"BHP Billiton slashes dividend, posts $5.67 billion net loss",-0.341,1
CompaniesMeggitt profits hit by weak energy and military markets,-0.302,1
Royal Mail share price edges lower as group raises stamp price,-0.269,1
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",-0.314,1
GlaxoSmithKline starts hunt for successor to CEO Witty,0.0,2
"Rio Tinto swings to loss, drops dividend policy",-0.511,1
France raises concerns over proposed LSE-Deutsche Boerse deal,-0.347,1
MarketsBP promotes upstream boss to deputy CEO,0.066,3
Legal & General share price: Finance chief to step down,-0.166,1
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,-0.092,1
Arm profits and sales up as shift away from mobile gains pace,0.497,3
Barclays appoints JPMorgan's Paul Compton as new COO,-0.014,1
Barclays appoints JPMorgan's Paul Compton as new COO,0.036,3
U.S. Debt Lures Schroders as ECB Depresses Rates,0.048,3
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",-0.238,1
NYSE owner ICE considers offer for LSE,0.396,3
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0.226,3
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0.843,3
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),0.413,3
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),0.408,3
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),0.403,3
Intertek swings to Â£347 mln loss on oil's slump,-0.734,1
Sanofi poaches AstraZeneca scientist as new research head,0.066,3
Tesco breaks its downward slide by cutting sales decline in half,0.172,3
"News FeedSchroders books solid earnings growth, several board changes",0.5,3
Intertek Group announces strategic update outlining its plan,0.046,3
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,0.327,3
Tullow Oil Suspends Dividend Amid Oil Price Fall,-0.498,1
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,-0.2,1
AB InBev to Sell SABMiller Stake in China's Snow Beer,-0.045,1
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,0.105,3
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,0.066,3
Industry NewsWolseley confident in reslilience amid mixed markets,0.287,3
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,-0.498,1
FTSE edges up as investors cheer Kingfisher results,0.678,3
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,0.261,3
Britain's FTSE gets lift from Prudential results,0.582,3
Amazon's grocery deal with Morrisons is only the beginning,0.389,3
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",-0.402,1
ICE Said to Start Lining Up Financing for LSE Bidding War,0.328,3
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",-0.242,1
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,0.358,3
Aviva weighs cash handout after beating profit forecast,0.377,3
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",0.555,3
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",-0.142,1
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",-0.102,1
AB InBev to sell more SAB assets as seeks EU deal approval,-0.079,1
Tesco's Sales Pickup Isn't Enough,-0.23,1
Spain's CaixaBank Expects To Close Deal For Banco BPI,0.375,3
ITV share price: Group mulls takeover of Canada's Entertainment One,0.422,3
Entertainment One dispels ITV takeover rumours,0.138,3
Entertainment One dispels ITV takeover rumours,0.003,3
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,0.213,3
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,0.211,3
Tata Steel working with StanChart for UK unit sale - source,0.218,3
Tata Steel working with StanChart for UK unit sale - source,0.143,3
Crown Castle buys Tower Development Corp for $461 million,0.366,3
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,-0.038,1
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,0.365,3
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",0.244,3
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",0.243,3
Spain's Caixabank launches new takeover bid for Banco BPI,0.185,3
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",-0.077,1
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,0.199,3
Shire Sees Baxalta Deal Closing as Expected After New Rules,0.224,3
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",0.257,3
Tesco share price steady as analysts weigh in on results,0.052,3
Standard Chartered lags on capital worries,-0.358,1
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,0.292,3
Should You Follow Berkshire Hathaway Into Apple Stock?,0.0,2
Morrisons book second consecutive quarter of sales growth,0.43,3
Royal Mail gets mixed bag from Ofcom postal regulation report,-0.084,1
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,-0.34,1
Standard Life share price: Insurer buys advice firm Pearson Jones,0.364,3
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",0.392,3
Retail giant Kingfisher reports 'solid' start to the year,0.368,3
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,0.295,3
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,0.129,3
"Berkshire discloses unit's ties to Iran, opens probe",-0.288,1
Berkshire Hathaway names Kara Raiguel to lead General Re unit,0.077,3
"European stocks hover near 3-week low, Dialog and BHP slump",-0.584,1
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,0.571,3
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,0.495,3
Australia clears AB Inbev's $100 billion SABMiller buyout plan,0.437,3
Goodwin not to face Scottish prosecution over RBS,0.114,3
Royal Mail turnaround proving expensive in tough UK market,-0.057,1
Whitbread buys 49% stake in Pure food chain,0.365,3
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",0.128,3
Royal Mail share price rallies amid positive broker comments,0.59,3
InterContinental Hotels first-quarter global room revenue lags estimates,-0.329,1
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,0.395,3
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,-0.421,1
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,0.0,2
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,0.0,2
BP joins forces with Det Norske in Norway,0.248,3
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0.252,3
Johnson Matthey revs up on clean air drive,0.224,3
RBS will reportedly appoint Howard Davies as its next chairman,0.089,3
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",-0.14,1
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",-0.147,1
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0.0,2
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,0.207,3
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,0.329,3
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,-0.473,1
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,-0.415,1
HSBC Hit by Fresh Details of Tax Evasion Claims,-0.594,1
Tesco sales recover as focus returns to core business,0.35,3
Johnson Matthey profit falls but dividend rises,0.0,2
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",0.063,3
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",0.0,2
Priceline's stock jumps to new high for the year after Barclays upgrade,0.847,3
"Tesco set to sell Kipa, Giraffe businesses - Sky News",0.23,3
"Tesco set to sell Kipa, Giraffe businesses - Sky News",-0.192,1
Relief for Lewis as Tesco sees sales grow for first time in a year,0.42,3
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,0.259,3
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,0.293,3
HSBC Says Unit to Book $585 Million Charge on Settlement,-0.434,1
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",0.427,3
Aviva promises higher dividends to boost flagging share price,0.281,3
CompaniesFresnillo shares jump 8% as silver price breaks $21,0.874,3
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",0.14,3
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",0.165,3
Berkshire seeks to boost its Wells Fargo stake above 10 percent,0.429,3
Tesco share price tumbles after negative broker note,-0.779,1
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,0.406,3
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,0.432,3
Berkshire applies to boost Wells Fargo stake above 10 percent,0.484,3
"Aviva, M&G suspend property funds as investors panic",-0.807,1
"UK housing market steadies after Brexit dip, Persimmon says",0.339,3
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,0.439,3
Morrisons finance chief to fill gap as CEO leaves early,-0.114,1
Builder Persimmon hails 6% rise in house sales,0.435,3
EasyJet attracts more passengers in June but still lags Ryanair,0.259,3
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",0.937,3
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,0.365,3
Tesco shareholders back ITV head for chairman,0.139,3
"Buffett's Berkshire builds Deere stake, dumps Exxon",-0.548,1
"Buffett's Berkshire builds Deere stake, dumps Exxon",0.316,3
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,-0.675,1
AstraZeneca's patent on asthma drug invalidated by US court,-0.656,1
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,-0.075,1
Whitbread share price climbs on Q4 sales growth,0.513,3
Warren Buffett defends Berkshire Hathaway's conglomerate structure,0.144,3
G4S sees profits rise but UK contract problems remain,0.252,3
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,0.387,3
Auto Trader share price surges as company floats on LSE,0.655,3
New Credit Suisse boss faces stiff challenge in Asia,-0.181,1
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",0.315,3
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",0.284,3
Is It Worth Investing In Tesco PLC And Prudential plc Now?,0.161,3
Insight hires Aviva's David Hillier for multi-asset team,0.137,3
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0.516,3
Sainsbury's says to outperform rivals in tough market,0.536,3
CompaniesKingfisher bid for Mr Bricolage runs into trouble,-0.253,1
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0.641,3
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.514,3
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",-0.657,1
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0.508,3
GSK and Novartis complete deals to reshape both drugmakers,0.264,3
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",0.39,3
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,0.283,3
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,0.225,3
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",0.544,3
British American Tobacco drops and sues PwC over pollution scandal,-0.437,1
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,-0.651,1
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.179,1
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",-0.158,1
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,0.214,3
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0.364,3
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0.369,3
RBI surprises Street; Sensex pares gains after hitting mount 30k,-0.216,1
Credit Suisse poaches Prudential's Thiam for Asian push,-0.031,1
Credit Suisse poaches Prudential's Thiam for Asian push,0.125,3
Kingfisher takeover of Mr Bricolage could hit a brick wall,-0.311,1
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",-0.508,1
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.053,3
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0.454,3
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0.361,3
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,0.379,3
Randgold profit hit by poor gold price but dividend still increases,-0.052,1
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",0.494,3
Market Report: Aviva tops the market as traders approve of its choice of Friends,0.443,3
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,0.025,3
Primark racks up a happy Christmas after strong sales,0.704,3
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",-0.198,1
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0.143,3
CompaniesDiageo stays neutral on India boardroom turmoil,0.0,2
UPDATE 1-Pearson expects to grow this year after solid end to 2014,0.446,3
Germanwings disaster will not affect image of budget air travel - easyJet,0.096,3
Germanwings disaster will not affect image of budget air travel - easyJet,-0.046,1
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,-0.345,1
Tesco sells Blinkbox and broadband service to TalkTalk,0.192,3
Tesco sells Blinkbox and broadband service to TalkTalk,0.136,3
Shell offers 50 percent premium to buy BG for $70 billion,0.193,3
WPP boosts sales despite cautious clients,0.251,3
Shell to buy BG Group in $69.7 billion takeover,0.25,3
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,0.556,3
UPDATE 1-BP shareholders back more disclosure on climate change risks,0.037,3
Shell challenges Exxon dominance with 47 billion-pound bid for BG,0.078,3
Shell challenges Exxon dominance with 47 billion-pound bid for BG,-0.196,1
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,0.259,3
City spirits sink after Diageo comes up short with sales slide,-0.521,1
Diageo receives reports from United Spirits on financial irregularities involving ...,-0.255,1
Diageo receives reports from United Spirits on financial irregularities involving ...,-0.272,1
Unilever profit rises despite sales slump in China,0.213,3
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,0.777,3
Tesco sales rise shows tentative recovery continues,0.256,3
Diageo sales disappoint as currency and comparatives leave bitter taste,-0.545,1
Tesco leads leap in FTSE 100; Marks & Spencer drops,0.389,3
AstraZeneca profit down as sales of stalwarts fade,-0.405,1
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",0.385,3
Glencore blames rivals for creating metals glut,-0.331,1
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,-0.221,1
easyJet leads Britain's FTSE lower as global bond rout resumes,-0.495,1
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,0.336,3
Royal Dutch Shell profit rises; dividend up 4%,0.65,3
BG Group Still Happy With Shell's $70 Billion Offer,0.235,3
SABMiller buys Meantime to quench thirst for craft beer,0.296,3
Aviva shuts Friends Life head office in rapid integration move,-0.09,1
Retailers Kingfisher and Sports Direct rise in Britain's share index,0.459,3
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",0.229,3
Tesco share price closes higher as two more directors leave grocer,0.354,3
Tesco leads FTSE higher on Clubcard bid reports,0.453,3
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,0.516,3
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",0.724,3
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.121,1
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-0.042,1
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,-0.408,1
Glencore chief blames rivals' overproduction for share price fall,-0.301,1
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",-0.152,1
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",-0.152,1
Hargreaves Lansdown share price falls as costs mount - although pensions ...,-0.514,1
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",0.195,3
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",0.122,3
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,0.461,3
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",-0.69,1
MillerCoors Board Names Gavin Hattersley Interim CEO,0.0,2
"Britain's FTSE gains, Land Securities up after dividend hike",0.549,3
"Britain's FTSE bounces back, Mondi and Barratt lead",0.558,3
"Britain's FTSE bounces back, Mondi and Barratt lead",0.552,3
Morning Agenda: Shire's Deal for NPS,0.195,3
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,0.689,3
Do it for me' trend underpins UK sales growth at Kingfisher,0.304,3
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",0.372,3
"Centrica extends gas deals with Gazprom, Statoil",0.239,3
"Centrica extends gas deals with Gazprom, Statoil",0.199,3
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,0.119,3
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",-0.364,1
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,0.476,3
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,0.242,3
Severn Trent share price jumps as Canadian investor renews pursuit of utility,0.433,3
New Morrisons duo get former boss's support to diffuse investor tension,0.143,3
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,0.459,3
$TRX http://stks.co/1KkK Long setup. MACD cross.,0.438,3
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,-0.506,1
$GRPN might be selling off ahead of $P earnings...,-0.202,1
$IACI http://stks.co/tJU Looks good on the weekly chart.,0.379,3
"$pcln back over ""up"" trendline from 10/4",0.308,3
RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,0.578,3
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,0.222,3
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,0.298,3
$MOS looking good here at $58.65. Calls are active in this month and weekly,0.492,3
"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",0.385,3
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,0.444,3
$TZOO a close above 28.64 and we are ready to rock and roll,0.308,3
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",0.603,3
$WFT closng higher from here,0.48,3
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,0.601,3
$SPY bull move ended waiting for next setup,-0.204,1
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,0.446,3
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",0.176,3
$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,-0.536,1
$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,0.385,3
volatility squeeze in $AAPL. I hope it gets resolved to the upside,0.042,3
"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",-0.543,1
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,0.348,3
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,-0.39,1
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",0.594,3
$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,0.702,3
$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,0.412,3
longed $AMZN 300 @ 189.82,0.65,3
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",0.145,3
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",0.497,3
"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint",-0.668,1
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",-0.299,1
$vxx adding to position here !,0.685,3
$GPS Gap September Comparable Store Sales -4%,-0.441,1
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,0.654,3
$MA http://stks.co/1CYN continues to consolidate / base here,0.148,3
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,0.396,3
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,0.729,3
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,0.63,3
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,-0.522,1
$aapl news is becoming very bullish again http://stks.co/tMU,0.526,3
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,0.142,3
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",0.369,3
